accident_id,0,factor_id,1
624,624,37,37
625,625,101,101
34253,34253,31,31
34253,34253,101,101
34029,34029,31,31
951,951,43,43
552,552,36,36
457,457,37,37
639,639,31,31
639,639,43,43
639,639,35,35
639,639,36,36
639,639,101,101
112952,112952,43,43
114449,114449,31,31
114449,114449,43,43
114449,114449,36,36
114449,114449,40,40
114449,114449,41,41
460,460,101,101
461,461,37,37
635,635,40,40
636,636,42,42
8,8,37,37
641,641,31,31
469,469,37,37
470,470,37,37
50486,50486,101,101
473,473,31,31
473,473,36,36
473,473,43,43
473,473,101,101
650,650,43,43
652,652,34,34
477,477,31,31
595,595,37,37
602,602,37,37
483,483,31,31
50486,50486,42,42
489,489,101,101
493,493,31,31
661,661,37,37
662,662,37,37
663,663,37,37
494,494,37,37
504,504,37,37
669,669,34,34
510,510,34,34
513,513,35,35
674,674,43,43
41782,41782,101,101
513,513,36,36
513,513,101,101
514,514,37,37
515,515,37,37
517,517,37,37
520,520,31,31
520,520,34,34
686,686,31,31
523,523,37,37
689,689,35,35
524,524,31,31
529,529,37,37
530,530,37,37
694,694,31,31
694,694,34,34
696,696,31,31
696,696,34,34
534,534,43,43
535,535,37,37
539,539,43,43
701,701,31,31
540,540,34,34
541,541,37,37
704,704,31,31
542,542,37,37
543,543,101,101
706,706,42,42
707,707,31,31
707,707,36,36
707,707,43,43
40731,40731,37,37
545,545,37,37
31965,31965,37,37
560,560,43,43
564,564,101,101
712,712,38,38
713,713,36,36
713,713,101,101
565,565,101,101
566,566,36,36
566,566,101,101
567,567,101,101
570,570,42,42
58181,58181,37,37
579,579,101,101
580,580,37,37
584,584,37,37
588,588,31,31
588,588,43,43
725,725,37,37
727,727,37,37
729,729,42,42
590,590,37,37
593,593,37,37
27066,27066,42,42
734,734,37,37
735,735,31,31
735,735,37,37
35500,35500,31,31
749,749,37,37
751,751,37,37
597,597,43,43
603,603,35,35
603,603,101,101
605,605,37,37
756,756,34,34
757,757,42,42
606,606,37,37
607,607,35,35
760,760,34,34
761,761,37,37
607,607,36,36
607,607,40,40
607,607,41,41
607,607,101,101
612,612,37,37
619,619,37,37
774,774,101,101
621,621,37,37
776,776,31,31
776,776,38,38
627,627,31,31
630,630,34,34
632,632,43,43
783,783,37,37
3545,3545,37,37
16494,16494,31,31
16494,16494,43,43
926,926,31,31
788,788,43,43
793,793,31,31
795,795,36,36
16488,16488,43,43
797,797,31,31
797,797,42,42
797,797,43,43
798,798,31,31
798,798,35,35
798,798,36,36
798,798,43,43
799,799,42,42
800,800,31,31
800,800,42,42
800,800,43,43
802,802,37,37
787,787,43,43
787,787,35,35
787,787,36,36
356,356,101,101
50518,50518,31,31
3418,3418,43,43
3420,3420,37,37
813,813,36,36
813,813,43,43
8322,8322,31,31
816,816,43,43
818,818,37,37
819,819,37,37
820,820,32,32
821,821,37,37
822,822,37,37
830,830,42,42
831,831,38,38
646,646,43,43
837,837,36,36
837,837,43,43
657,657,31,31
657,657,34,34
841,841,32,32
841,841,43,43
657,657,35,35
843,843,31,31
843,843,34,34
843,843,37,37
657,657,36,36
847,847,34,34
847,847,37,37
848,848,36,36
848,848,43,43
657,657,43,43
850,850,43,43
851,851,43,43
852,852,42,42
666,666,37,37
667,667,37,37
31001,31001,101,101
41785,41785,37,37
668,668,37,37
859,859,31,31
860,860,31,31
861,861,31,31
861,861,43,43
670,670,37,37
863,863,37,37
672,672,43,43
865,865,37,37
1003,1003,37,37
40463,40463,31,31
683,683,37,37
684,684,31,31
872,872,43,43
873,873,35,35
685,685,37,37
687,687,37,37
690,690,36,36
876,876,37,37
877,877,43,43
692,692,37,37
879,879,42,42
34385,34385,37,37
33117,33117,37,37
881,881,43,43
881,881,101,101
693,693,42,42
883,883,43,43
884,884,37,37
50518,50518,43,43
50518,50518,41,41
59476,59476,43,43
50560,50560,37,37
695,695,31,31
886,886,43,43
695,695,34,34
889,889,34,34
891,891,43,43
35892,35892,43,43
894,894,38,38
896,896,42,42
700,700,101,101
902,902,37,37
702,702,31,31
703,703,37,37
906,906,43,43
710,710,36,36
908,908,31,31
908,908,35,35
908,908,36,36
908,908,43,43
908,908,101,101
909,909,37,37
916,916,37,37
917,917,35,35
918,918,37,37
715,715,31,31
715,715,35,35
922,922,37,37
715,715,101,101
718,718,31,31
719,719,31,31
719,719,42,42
719,719,43,43
720,720,43,43
721,721,31,31
730,730,37,37
933,933,37,37
731,731,37,37
733,733,31,31
733,733,34,34
939,939,35,35
747,747,37,37
942,942,37,37
944,944,37,37
947,947,31,31
947,947,101,101
754,754,31,31
754,754,43,43
755,755,34,34
954,954,43,43
955,955,31,31
758,758,31,31
104527,104527,43,43
960,960,101,101
765,765,37,37
768,768,35,35
768,768,36,36
768,768,101,101
771,771,43,43
771,771,101,101
777,777,43,43
973,973,43,43
778,778,37,37
779,779,43,43
780,780,37,37
9079,9079,37,37
2514,2514,43,43
2514,2514,101,101
103,103,43,43
104527,104527,42,42
986,986,31,31
988,988,43,43
991,991,36,36
12063,12063,37,37
9848,9848,35,35
996,996,31,31
997,997,37,37
1002,1002,37,37
784,784,43,43
785,785,31,31
785,785,34,34
1007,1007,43,43
786,786,31,31
1012,1012,43,43
1013,1013,37,37
1014,1014,37,37
1017,1017,31,31
1017,1017,37,37
804,804,31,31
1019,1019,43,43
1020,1020,36,36
1021,1021,31,31
1021,1021,36,36
1022,1022,37,37
805,805,35,35
805,805,43,43
1025,1025,37,37
1026,1026,37,37
1033,1033,36,36
810,810,42,42
810,810,43,43
812,812,37,37
814,814,43,43
815,815,35,35
817,817,37,37
825,825,43,43
1047,1047,42,42
1048,1048,43,43
834,834,31,31
1053,1053,31,31
1053,1053,43,43
834,834,35,35
1056,1056,31,31
1057,1057,34,34
834,834,43,43
835,835,101,101
836,836,37,37
839,839,37,37
849,849,43,43
853,853,37,37
1065,1065,43,43
1071,1071,31,31
1072,1072,37,37
1073,1073,31,31
1073,1073,101,101
1076,1076,31,31
1076,1076,101,101
866,866,37,37
868,868,101,101
869,869,43,43
871,871,42,42
1083,1083,37,37
1084,1084,101,101
874,874,34,34
874,874,101,101
875,875,37,37
878,878,43,43
1088,1088,37,37
1089,1089,37,37
1090,1090,37,37
882,882,37,37
890,890,34,34
899,899,37,37
901,901,43,43
76310,76310,37,37
556,556,31,31
556,556,43,43
1101,1101,31,31
556,556,101,101
907,907,31,31
1106,1106,43,43
103382,103382,37,37
1108,1108,37,37
1110,1110,37,37
