accident_id,0,injury_id,1
530,530,0,0
688,688,52,52
689,689,52,52
534,534,0,0
535,535,0,0
694,694,0,0
539,539,0,0
696,696,54,54
1044,1044,55,55
540,540,0,0
541,541,0,0
542,542,55,55
622,622,55,55
40731,40731,59,59
701,701,0,0
545,545,0,0
41781,41781,53,53
704,704,56,56
559,559,0,0
706,706,0,0
707,707,0,0
40372,40372,53,53
560,560,0,0
40372,40372,55,55
713,713,0,0
564,564,0,0
565,565,0,0
566,566,0,0
567,567,0,0
570,570,0,0
575,575,58,58
724,724,55,55
725,725,59,59
553,553,54,54
727,727,0,0
729,729,52,52
579,579,59,59
580,580,55,55
584,584,55,55
734,734,0,0
588,588,55,55
749,749,51,51
590,590,0,0
593,593,0,0
756,756,0,0
757,757,0,0
597,597,0,0
760,760,0,0
761,761,0,0
603,603,0,0
605,605,0,0
606,606,0,0
547,547,53,53
607,607,0,0
41511,41511,0,0
1043,1043,54,54
612,612,55,55
774,774,0,0
619,619,0,0
621,621,0,0
40369,40369,0,0
627,627,51,51
630,630,0,0
783,783,52,52
632,632,0,0
1043,1043,55,55
788,788,0,0
40463,40463,0,0
34253,34253,0,0
34029,34029,0,0
792,792,53,53
793,793,53,53
795,795,0,0
797,797,54,54
798,798,54,54
800,800,0,0
802,802,0,0
646,646,0,0
50329,50329,0,0
657,657,0,0
666,666,0,0
813,813,0,0
667,667,52,52
668,668,52,52
816,816,0,0
670,670,52,52
818,818,0,0
819,819,0,0
820,820,52,52
822,822,0,0
951,951,0,0
672,672,0,0
830,830,0,0
683,683,0,0
684,684,0,0
685,685,0,0
837,837,0,0
687,687,0,0
690,690,0,0
692,692,51,51
841,841,0,0
693,693,52,52
843,843,0,0
695,695,0,0
847,847,0,0
848,848,0,0
850,850,0,0
851,851,0,0
852,852,53,53
700,700,0,0
702,702,54,54
859,859,0,0
860,860,53,53
861,861,0,0
703,703,53,53
863,863,0,0
865,865,0,0
710,710,0,0
715,715,0,0
718,718,54,54
873,873,0,0
719,719,0,0
720,720,53,53
876,876,0,0
877,877,0,0
721,721,54,54
879,879,0,0
881,881,0,0
730,730,0,0
883,883,0,0
884,884,0,0
731,731,56,56
886,886,0,0
733,733,0,0
889,889,0,0
747,747,0,0
896,896,0,0
902,902,0,0
754,754,0,0
755,755,0,0
758,758,0,0
908,908,0,0
8999,8999,0,0
909,909,0,0
16494,16494,0,0
3418,3418,0,0
226,226,0,0
3420,3420,0,0
916,916,0,0
917,917,52,52
918,918,0,0
787,787,0,0
922,922,55,55
356,356,0,0
14077,14077,0,0
10794,10794,0,0
8322,8322,0,0
933,933,0,0
765,765,0,0
768,768,0,0
771,771,0,0
939,939,0,0
777,777,0,0
942,942,0,0
778,778,0,0
944,944,55,55
779,779,0,0
947,947,54,54
16488,16488,0,0
780,780,0,0
50242,50242,0,0
784,784,0,0
785,785,0,0
960,960,0,0
786,786,0,0
804,804,53,53
805,805,0,0
810,810,0,0
973,973,0,0
812,812,0,0
814,814,0,0
815,815,0,0
817,817,0,0
825,825,0,0
50362,50362,0,0
986,986,54,54
986,986,55,55
988,988,54,54
988,988,55,55
834,834,54,54
991,991,55,55
835,835,0,0
836,836,53,53
556,556,0,0
996,996,55,55
997,997,55,55
839,839,0,0
563,563,0,0
1002,1002,55,55
849,849,0,0
853,853,0,0
34385,34385,0,0
1006,1006,55,55
1007,1007,0,0
50375,50375,56,56
1012,1012,0,0
1013,1013,52,52
1014,1014,55,55
1017,1017,54,54
866,866,0,0
1020,1020,55,55
1021,1021,54,54
1021,1021,55,55
1022,1022,59,59
868,868,0,0
869,869,0,0
871,871,0,0
1025,1025,55,55
1026,1026,55,55
874,874,0,0
875,875,0,0
55341,55341,52,52
878,878,0,0
1033,1033,55,55
882,882,52,52
31965,31965,52,52
890,890,0,0
899,899,0,0
901,901,0,0
41782,41782,0,0
27066,27066,0,0
907,907,0,0
907,907,54,54
1047,1047,59,59
50275,50275,0,0
50401,50401,0,0
1048,1048,0,0
910,910,0,0
912,912,55,55
912,912,58,58
913,913,55,55
1053,1053,0,0
914,914,55,55
1056,1056,0,0
1057,1057,0,0
35500,35500,0,0
921,921,56,56
924,924,0,0
1065,1065,0,0
56690,56690,54,54
1071,1071,53,53
1072,1072,0,0
1073,1073,0,0
107,107,0,0
1076,1076,0,0
929,929,0,0
934,934,0,0
1083,1083,53,53
1084,1084,56,56
937,937,0,0
1089,1089,0,0
1090,1090,55,55
941,941,0,0
943,943,0,0
946,946,59,59
950,950,0,0
952,952,52,52
958,958,0,0
959,959,54,54
962,962,0,0
963,963,52,52
1101,1101,54,54
1101,1101,55,55
964,964,52,52
965,965,0,0
1106,1106,55,55
1108,1108,59,59
1110,1110,55,55
1110,1110,59,59
1112,1112,55,55
1113,1113,55,55
966,966,51,51
968,968,0,0
969,969,0,0
1120,1120,0,0
970,970,0,0
1122,1122,0,0
1123,1123,55,55
1124,1124,0,0
1126,1126,55,55
1127,1127,55,55
1130,1130,55,55
1130,1130,59,59
1133,1133,54,54
1133,1133,55,55
1135,1135,0,0
974,974,0,0
975,975,0,0
1143,1143,55,55
978,978,0,0
979,979,0,0
980,980,0,0
1152,1152,55,55
1153,1153,55,55
1156,1156,55,55
9079,9079,0,0
196,196,0,0
10799,10799,0,0
14136,14136,0,0
1171,1171,0,0
9848,9848,0,0
982,982,55,55
2020,2020,55,55
983,983,54,54
984,984,55,55
2049,2049,0,0
994,994,0,0
2054,2054,55,55
995,995,55,55
2073,2073,55,55
999,999,54,54
999,999,55,55
1005,1005,0,0
1009,1009,55,55
1016,1016,52,52
1018,1018,58,58
2152,2152,56,56
1023,1023,55,55
2178,2178,55,55
1036,1036,54,54
1036,1036,55,55
2271,2271,0,0
1038,1038,55,55
1039,1039,59,59
2311,2311,52,52
2315,2315,0,0
1042,1042,0,0
2339,2339,55,55
2357,2357,53,53
2359,2359,0,0
2363,2363,0,0
1050,1050,55,55
1055,1055,0,0
2388,2388,53,53
2398,2398,0,0
2423,2423,0,0
1061,1061,0,0
1062,1062,52,52
2438,2438,0,0
2446,2446,55,55
2453,2453,0,0
1064,1064,0,0
2462,2462,55,55
1066,1066,0,0
604,604,0,0
2472,2472,0,0
602,602,0,0
2490,2490,0,0
1079,1079,0,0
2502,2502,0,0
2506,2506,0,0
1080,1080,0,0
34246,34246,0,0
1086,1086,0,0
2540,2540,58,58
1087,1087,56,56
1091,1091,55,55
1092,1092,55,55
2572,2572,55,55
2606,2606,0,0
1093,1093,54,54
2611,2611,0,0
2618,2618,0,0
1093,1093,59,59
2624,2624,0,0
1096,1096,54,54
2657,2657,0,0
2662,2662,0,0
2667,2667,0,0
1096,1096,55,55
1097,1097,55,55
1100,1100,55,55
2682,2682,0,0
2689,2689,0,0
1100,1100,59,59
2716,2716,0,0
2718,2718,0,0
1116,1116,55,55
2723,2723,52,52
2725,2725,0,0
2737,2737,0,0
1137,1137,0,0
1139,1139,55,55
1139,1139,59,59
2747,2747,0,0
2749,2749,0,0
1146,1146,55,55
1146,1146,59,59
1149,1149,52,52
2757,2757,53,53
41785,41785,0,0
1162,1162,59,59
2794,2794,0,0
35849,35849,53,53
2834,2834,0,0
2839,2839,52,52
1164,1164,0,0
33117,33117,0,0
1167,1167,55,55
2885,2885,58,58
2893,2893,52,52
2897,2897,0,0
35892,35892,0,0
2907,2907,52,52
2914,2914,0,0
2916,2916,0,0
2918,2918,0,0
2922,2922,53,53
2924,2924,0,0
2045,2045,0,0
2930,2930,0,0
2047,2047,0,0
2947,2947,0,0
2953,2953,0,0
2087,2087,0,0
2104,2104,57,57
2106,2106,0,0
3040,3040,0,0
2129,2129,0,0
3059,3059,0,0
3066,3066,59,59
2139,2139,55,55
2141,2141,55,55
3077,3077,54,54
2145,2145,0,0
2147,2147,0,0
2183,2183,0,0
2195,2195,0,0
3093,3093,0,0
50137,50137,0,0
2209,2209,52,52
3099,3099,0,0
2218,2218,0,0
3111,3111,0,0
2275,2275,0,0
2281,2281,56,56
3116,3116,0,0
3124,3124,0,0
3126,3126,59,59
2321,2321,0,0
3133,3133,0,0
2331,2331,0,0
3137,3137,0,0
3141,3141,53,53
4005,4005,55,55
867,867,0,0
3160,3160,0,0
3172,3172,0,0
3178,3178,0,0
14278,14278,0,0
8884,8884,0,0
2344,2344,54,54
2361,2361,0,0
3214,3214,55,55
2366,2366,56,56
2384,2384,55,55
2427,2427,0,0
3225,3225,0,0
3255,3255,55,55
3256,3256,0,0
2458,2458,0,0
3259,3259,59,59
3260,3260,0,0
3261,3261,53,53
3262,3262,0,0
3263,3263,55,55
2464,2464,0,0
3275,3275,54,54
3276,3276,0,0
2465,2465,0,0
2470,2470,55,55
3298,3298,0,0
3301,3301,56,56
3302,3302,58,58
2475,2475,0,0
3307,3307,0,0
2526,2526,0,0
2530,2530,0,0
3313,3313,0,0
2543,2543,0,0
2568,2568,52,52
3317,3317,0,0
2568,2568,54,54
3320,3320,58,58
3321,3321,0,0
3323,3323,0,0
3324,3324,0,0
2620,2620,0,0
2627,2627,0,0
2638,2638,52,52
3337,3337,55,55
3338,3338,0,0
2638,2638,58,58
3341,3341,0,0
3342,3342,55,55
2672,2672,0,0
3345,3345,0,0
3346,3346,0,0
2678,2678,0,0
2680,2680,0,0
2694,2694,0,0
2697,2697,0,0
2710,2710,0,0
2720,2720,52,52
3358,3358,0,0
3362,3362,55,55
2729,2729,0,0
3364,3364,58,58
2731,2731,0,0
3369,3369,0,0
2733,2733,0,0
3373,3373,0,0
3375,3375,0,0
3378,3378,0,0
3388,3388,0,0
2739,2739,0,0
3392,3392,52,52
2743,2743,0,0
2751,2751,0,0
2753,2753,0,0
3395,3395,0,0
3396,3396,0,0
3397,3397,0,0
3398,3398,0,0
2755,2755,0,0
2759,2759,0,0
3401,3401,55,55
2783,2783,0,0
3403,3403,0,0
2831,2831,0,0
3412,3412,55,55
3414,3414,0,0
3415,3415,0,0
2848,2848,0,0
2855,2855,0,0
2876,2876,0,0
2887,2887,53,53
3421,3421,55,55
596,596,0,0
3431,3431,0,0
2912,2912,54,54
2926,2926,0,0
2928,2928,55,55
3443,3443,55,55
2937,2937,0,0
2943,2943,0,0
2955,2955,0,0
3454,3454,0,0
3455,3455,0,0
2976,2976,0,0
3006,3006,54,54
3013,3013,0,0
3045,3045,0,0
3057,3057,0,0
3076,3076,0,0
3080,3080,0,0
3469,3469,0,0
3471,3471,0,0
3474,3474,0,0
3476,3476,58,58
3087,3087,0,0
3479,3479,0,0
3088,3088,59,59
3090,3090,55,55
3091,3091,0,0
3094,3094,0,0
3495,3495,0,0
3496,3496,0,0
3498,3498,0,0
3096,3096,55,55
3098,3098,0,0
3503,3503,0,0
3100,3100,0,0
3109,3109,0,0
3110,3110,0,0
3112,3112,0,0
3508,3508,0,0
3113,3113,54,54
3115,3115,0,0
1003,1003,52,52
3128,3128,0,0
41787,41787,0,0
3140,3140,0,0
3148,3148,53,53
3149,3149,0,0
3150,3150,0,0
3163,3163,0,0
3171,3171,0,0
3173,3173,52,52
3182,3182,0,0
3183,3183,52,52
3183,3183,59,59
3532,3532,55,55
3186,3186,0,0
3534,3534,0,0
3205,3205,0,0
3208,3208,0,0
3217,3217,53,53
3218,3218,0,0
3543,3543,53,53
3222,3222,0,0
3224,3224,0,0
3546,3546,0,0
3547,3547,55,55
3257,3257,55,55
3258,3258,55,55
3265,3265,0,0
3551,3551,0,0
3294,3294,0,0
3297,3297,52,52
3305,3305,0,0
3308,3308,0,0
3556,3556,52,52
3308,3308,51,51
3309,3309,0,0
3315,3315,0,0
3316,3316,54,54
3319,3319,0,0
3574,3574,0,0
3322,3322,54,54
3577,3577,0,0
3578,3578,55,55
3326,3326,53,53
3327,3327,0,0
